LAYER,P,R,F
0,0.37937975,0.379358,0.37601414
1,0.6650208,0.66500705,0.6645409
2,0.72824335,0.7282381,0.72805566
3,0.74166065,0.7416417,0.741436
4,0.7924967,0.7925062,0.7923915
5,0.7885143,0.7884954,0.7883624
6,0.8117979,0.8117669,0.81168765
7,0.8173677,0.8173395,0.81728506
8,0.82804793,0.828012,0.82794595
9,0.83066076,0.8306335,0.83057094
10,0.82999426,0.8299607,0.82988906
11,0.83342683,0.83340013,0.8332831
12,0.83806795,0.83803594,0.83778083
13,0.83596325,0.83591455,0.83558387
14,0.8378458,0.8377797,0.83741814
15,0.8420356,0.84196484,0.84161186
16,0.83186066,0.8318187,0.8314605
17,0.83927697,0.83923465,0.83889884
18,0.84405965,0.84401745,0.8436563
19,0.8409746,0.8409399,0.84059715
20,0.8542512,0.85422283,0.8539368
21,0.8734287,0.8733914,0.87314016
22,0.8774618,0.87741566,0.87717056
23,0.87821764,0.8781659,0.8779116
24,0.9817083,0.98170334,0.9817008
