LAYER,P,R,F
0,0.43137488,0.4314412,0.4271023
1,0.47189355,0.47192886,0.46977237
2,0.4965904,0.49659666,0.49521467
3,0.4952368,0.4952206,0.49390256
4,0.49991024,0.4998804,0.49865857
5,0.5061125,0.5060827,0.50490576
6,0.52520007,0.5251885,0.5241151
7,0.5463337,0.54633546,0.54536676
8,0.56268036,0.56267744,0.5618048
9,0.5788636,0.5788671,0.5780607
10,0.59798187,0.5979915,0.5972454
11,0.6093569,0.6093737,0.60867995
12,0.61832786,0.6183305,0.6176837
13,0.6298888,0.62988657,0.6292773
14,0.63760334,0.6376027,0.6370052
15,0.6402277,0.6402217,0.63963217
16,0.6457506,0.6457368,0.64517874
17,0.6488497,0.6488231,0.6482803
18,0.6473536,0.6473276,0.6467711
19,0.65181977,0.6517948,0.6512418
20,0.65941834,0.6593918,0.65884435
21,0.65883756,0.65882397,0.65822756
22,0.6599824,0.6599794,0.6593097
23,0.6140344,0.6140205,0.6131047
24,0.54314095,0.54311645,0.5419062
