LAYER,P,R,F
0,0.33945993,0.33952734,0.3353803
1,0.46529758,0.46534532,0.4629573
2,0.5190359,0.51904607,0.5170987
3,0.55551875,0.5555247,0.5540426
4,0.47806495,0.4780755,0.47663376
5,0.39333034,0.3933407,0.391598
6,0.30678865,0.30683848,0.30446944
7,0.40164435,0.40167126,0.39997557
8,0.44429466,0.4443099,0.44277325
9,0.5114804,0.5114661,0.5102474
10,0.53322667,0.5332073,0.5323144
11,0.56793964,0.56791747,0.56725395
12,0.56360143,0.5635814,0.5629889
13,0.5358492,0.5358346,0.53522795
14,0.42079058,0.42078197,0.41975206
15,0.3509417,0.3509411,0.34957188
16,0.4534342,0.45341223,0.45231807
17,0.46370843,0.46370083,0.46265444
18,0.4278576,0.42786714,0.42646673
19,0.38974905,0.3897353,0.3877319
20,0.3966205,0.3966191,0.3942883
21,0.4981153,0.49813268,0.4955151
22,0.5868029,0.58685154,0.584482
23,0.7136535,0.7137033,0.7118858
24,0.5152624,0.5152391,0.5146088
