LAYER,P,R,F
0,0.24490805,0.24501415,0.23715581
1,0.29400384,0.2940948,0.28872925
2,0.30570883,0.3057956,0.30113816
3,0.2957167,0.29578057,0.2915654
4,0.2884288,0.28847086,0.2843156
5,0.30902475,0.3090854,0.3057
6,0.3267471,0.32683545,0.32377866
7,0.32664096,0.32672828,0.3239887
8,0.33238792,0.3324875,0.32986364
9,0.35454232,0.3546663,0.35220724
10,0.37474304,0.37486178,0.3723941
11,0.38948673,0.38959926,0.38713577
12,0.40499082,0.4051212,0.4027381
13,0.40869987,0.40882573,0.40650842
14,0.41533,0.41543606,0.41318002
15,0.42891178,0.4289993,0.42687863
16,0.43574512,0.43581918,0.43376175
17,0.44409868,0.44415665,0.4421444
18,0.45358238,0.45362508,0.45173016
19,0.4614291,0.46146432,0.45968512
20,0.4612395,0.46127385,0.45946208
21,0.47897574,0.47901914,0.4772938
22,0.49526486,0.49531218,0.49363694
23,0.48103315,0.4810869,0.4794539
24,0.5131625,0.51319313,0.51193404
