LAYER,P,R,F
0,0.24543904,0.24554524,0.23771858
1,0.32400694,0.3240889,0.31910792
2,0.35317397,0.35325843,0.34890434
3,0.34494445,0.34502625,0.34082443
4,0.34670925,0.34677663,0.3425456
5,0.36661133,0.3667012,0.36314553
6,0.38046056,0.38056228,0.37710926
7,0.38267714,0.3827855,0.37945607
8,0.3922755,0.3924098,0.38914645
9,0.41027483,0.41045374,0.4072962
10,0.43634042,0.4365225,0.43331632
11,0.4587171,0.45889324,0.45575032
12,0.47399956,0.47417867,0.47109136
13,0.48888516,0.48905894,0.4862424
14,0.4966528,0.49680543,0.49413764
15,0.5117451,0.51189446,0.50938886
16,0.5341927,0.53433174,0.53205305
17,0.55080074,0.5509329,0.5488182
18,0.5715738,0.571711,0.5698007
19,0.58424556,0.5843769,0.5826535
20,0.59171396,0.5918352,0.5901539
21,0.60953987,0.60965025,0.60810995
22,0.620468,0.6205763,0.6191674
23,0.57499653,0.575068,0.573669
24,0.5698042,0.5698687,0.5686779
