LAYER,P,R,F
0,0.2493579,0.24956034,0.24190253
1,0.3013932,0.30158633,0.2964718
2,0.317363,0.31756195,0.31315005
3,0.3117229,0.3118849,0.30764845
4,0.3074649,0.3076071,0.30345994
5,0.3140126,0.31414607,0.31065413
6,0.32410583,0.3242222,0.32100978
7,0.32173893,0.3218549,0.3187024
8,0.32544047,0.32556787,0.3224075
9,0.344368,0.3445152,0.34142512
10,0.3655007,0.36567506,0.3623955
11,0.38081372,0.38100296,0.37764993
12,0.38874978,0.38893828,0.38563213
13,0.38537422,0.38555342,0.38225004
14,0.39434314,0.39452493,0.3914539
15,0.40501443,0.40519157,0.40221062
16,0.41383415,0.414013,0.41118416
17,0.43424043,0.4344097,0.4318083
18,0.4456768,0.44583458,0.4435271
19,0.4616012,0.46173084,0.45967415
20,0.46671286,0.46683112,0.4647799
21,0.49091575,0.49103191,0.4892095
22,0.5345532,0.53466916,0.53317034
23,0.52739257,0.5275056,0.52598923
24,0.4812145,0.48132038,0.47937903
25,0.47786388,0.47797868,0.4758911
26,0.4767261,0.476854,0.4747504
27,0.45120457,0.45133275,0.44898003
28,0.43487516,0.43499732,0.43227148
29,0.4418857,0.44200745,0.439456
30,0.45188263,0.4520089,0.44948938
31,0.44309646,0.443208,0.44067165
32,0.44934252,0.44945362,0.44696212
33,0.47058168,0.470693,0.46848273
34,0.48300824,0.4831242,0.480923
35,0.49022266,0.49034286,0.48815507
36,0.49732342,0.49744752,0.49531126
37,0.49466616,0.494789,0.49265566
38,0.4995418,0.4996657,0.49754837
39,0.5116362,0.5117548,0.50974
40,0.5169066,0.5170288,0.5150192
41,0.53604615,0.5361662,0.534255
42,0.5560917,0.5562141,0.55443686
43,0.5699871,0.5701181,0.56848437
44,0.5755175,0.5756376,0.5740404
45,0.5944691,0.59459156,0.59314805
46,0.61108196,0.6111957,0.60986704
47,0.5935245,0.59361994,0.5924131
48,0.6343621,0.6344516,0.63365686
