LAYER,P,R,F
0,0.24957183,0.24977477,0.24214219
1,0.30639872,0.3065908,0.30158743
2,0.3331396,0.33333635,0.3290473
3,0.32949522,0.32968733,0.3253696
4,0.31661382,0.316769,0.31258678
5,0.32896715,0.32910535,0.32568523
6,0.33770096,0.33782086,0.3345446
7,0.3326147,0.33272395,0.32957816
8,0.3367821,0.33687654,0.33380622
9,0.3546219,0.3547327,0.35179362
10,0.38037142,0.38049275,0.37740862
11,0.40171945,0.40185076,0.39869636
12,0.4163913,0.41652367,0.4133557
13,0.43222922,0.43235204,0.42938623
14,0.4416328,0.44175574,0.43894717
15,0.45403007,0.45415205,0.45151842
16,0.47758847,0.47770745,0.47528616
17,0.49413732,0.49424222,0.49203014
18,0.5177917,0.5178813,0.51596016
19,0.54055035,0.54061955,0.53895485
20,0.5554671,0.55553156,0.553943
21,0.5871218,0.5871978,0.585844
22,0.6379372,0.6380021,0.6369301
23,0.62672323,0.6267863,0.6256873
24,0.5497838,0.5498381,0.5483379
25,0.543943,0.5440018,0.54246646
26,0.55943567,0.55949783,0.5578509
27,0.5522361,0.5523346,0.55041844
28,0.5384432,0.53856134,0.53645724
29,0.541011,0.5411351,0.53916043
30,0.53560615,0.5357274,0.5337449
31,0.5211553,0.5212751,0.51924247
32,0.52553123,0.52564174,0.5235451
33,0.53930295,0.5394204,0.5372786
34,0.5591909,0.55931133,0.5570341
35,0.5712996,0.5714208,0.5691194
36,0.57959074,0.57972014,0.5774709
37,0.58818644,0.5883232,0.58616716
38,0.5925551,0.5926871,0.5905953
39,0.6026835,0.60282564,0.6008043
40,0.6189861,0.6191251,0.6172279
41,0.62964463,0.62977934,0.62799156
42,0.6451681,0.64530563,0.6436409
43,0.6539978,0.65413773,0.65264153
44,0.65711796,0.65726453,0.65580934
45,0.66835105,0.66850114,0.6671609
46,0.67004806,0.6701847,0.6689483
47,0.611536,0.61166185,0.6104823
48,0.6487418,0.64883584,0.6481099
