LAYER,P,R,F
0,0.36816803,0.36820343,0.3650997
1,0.6424572,0.64243424,0.6408211
2,0.62199366,0.6219771,0.62105906
3,0.65479594,0.65479946,0.6542115
4,0.66220766,0.66219413,0.66147035
5,0.6841878,0.6841976,0.6835943
6,0.6993157,0.6993184,0.698729
7,0.7363659,0.7363538,0.73597246
8,0.76699406,0.76697797,0.7666572
9,0.76385623,0.76387703,0.76359564
10,0.7751121,0.7751162,0.7748585
11,0.7607176,0.7607192,0.7604293
12,0.75846714,0.75850517,0.7582122
13,0.7660639,0.766093,0.7658386
14,0.76723933,0.7672636,0.76692307
15,0.76183504,0.7618548,0.7615043
16,0.77503896,0.7750635,0.77476084
17,0.7572284,0.75724494,0.7568846
18,0.72981,0.72983533,0.7294623
19,0.6901594,0.69018,0.6896288
20,0.6456024,0.6456534,0.6447707
21,0.6733705,0.6734108,0.672755
22,0.7964235,0.79642963,0.7961781
23,0.83942956,0.839427,0.8393037
24,0.87867236,0.8787309,0.8781039
