LAYER,P,R,F
0,0.2929519,0.29297927,0.28788087
1,0.32307193,0.32305866,0.31955993
2,0.33333376,0.33329934,0.3307059
3,0.34018472,0.34019333,0.3369147
4,0.35193846,0.35196185,0.34877294
5,0.41633913,0.41635182,0.41389906
6,0.52230054,0.5223191,0.5208747
7,0.57117224,0.5711975,0.57016635
8,0.55626523,0.55628437,0.55513597
9,0.5035621,0.5035617,0.5023768
10,0.43660313,0.4366135,0.43496045
11,0.37350416,0.37354943,0.3712711
12,0.3694557,0.36947483,0.36708415
13,0.38296118,0.38296735,0.38057274
14,0.3801941,0.38019708,0.37771493
15,0.39073846,0.39073724,0.38804337
16,0.27941948,0.2793937,0.27774334
