LAYER,P,R,F
0,0.38918123,0.38920417,0.3852401
1,0.66835684,0.6683084,0.6677018
2,0.7323929,0.7323684,0.7321559
3,0.7391762,0.7391537,0.73889536
4,0.7922834,0.79227173,0.7921484
5,0.79589903,0.795871,0.7957138
6,0.8166894,0.816673,0.8165898
7,0.8223533,0.8223572,0.82228154
8,0.834576,0.8345772,0.8344947
9,0.8377803,0.83777326,0.8376894
10,0.8380223,0.8380033,0.83791
11,0.8415803,0.84157884,0.8414282
12,0.84659237,0.8466055,0.84632146
13,0.8437288,0.84372836,0.84340864
14,0.846515,0.84650415,0.8461781
15,0.8514585,0.8514379,0.85112184
16,0.84461045,0.8446081,0.8442589
17,0.85291016,0.8529066,0.8525485
18,0.8582745,0.8582787,0.85787606
19,0.85327464,0.8532746,0.85287833
20,0.86624545,0.86624,0.86592185
21,0.8854349,0.88543147,0.88515806
22,0.8891757,0.8891605,0.88892245
23,0.88805044,0.88803035,0.88777393
24,0.9840399,0.98404247,0.984038
