LAYER,P,R,F
0,0.41637358,0.41643414,0.41258112
1,0.32545134,0.32545993,0.3204785
2,0.29599807,0.29601985,0.29176536
3,0.21799843,0.2180424,0.21441601
4,0.2619272,0.261958,0.25913864
5,0.30362618,0.30360785,0.30147976
6,0.31371272,0.3136575,0.31170228
7,0.3085695,0.30850938,0.30676135
8,0.3251663,0.32509723,0.32402074
9,0.34611195,0.34610417,0.3449464
10,0.33172518,0.3316963,0.32996267
11,0.32673666,0.32671896,0.3252777
12,0.3015574,0.30154356,0.29979268
13,0.33127543,0.33126998,0.33017284
14,0.33191463,0.33192313,0.3307891
15,0.3753324,0.3753503,0.374231
16,0.37750244,0.37751338,0.37648135
17,0.3678608,0.3678761,0.36674905
18,0.305072,0.3050984,0.3042137
19,0.42524177,0.4253285,0.42387673
20,0.59149736,0.59153783,0.5901478
21,0.6070587,0.607099,0.6057612
22,0.80884385,0.80882186,0.8085461
23,0.9555436,0.9555404,0.95551467
24,0.96873486,0.9687297,0.9685215
