LAYER,P,R,F
0,0.34819788,0.3482508,0.34528664
1,0.66133285,0.6613388,0.66087705
2,0.7167448,0.71674955,0.71656334
3,0.7235102,0.7235182,0.7232822
4,0.7763208,0.77634054,0.7762066
5,0.7787467,0.77879304,0.77860975
6,0.8065161,0.8065541,0.8064417
7,0.8130386,0.8130481,0.81297535
8,0.8232221,0.8232352,0.82315505
9,0.8259885,0.8259966,0.82592285
10,0.8261345,0.8261378,0.82604396
11,0.8302732,0.83030087,0.8301369
12,0.832208,0.8322509,0.83195096
13,0.8284099,0.82843494,0.8280566
14,0.8308385,0.830874,0.83043313
15,0.83593214,0.83598274,0.8355737
16,0.8225831,0.8226431,0.8222514
17,0.83149856,0.83155996,0.83119583
18,0.8360739,0.83612305,0.83573186
19,0.8338515,0.8339162,0.8335273
20,0.85045713,0.8505154,0.8501959
21,0.866938,0.8670008,0.86669517
22,0.86754334,0.86759776,0.86728114
23,0.86495036,0.86501676,0.86465526
24,0.97565717,0.97566575,0.97565126
