LAYER,P,R,F
0,0.23438127,0.23428068,0.23040625
1,0.2891474,0.2890501,0.28663626
2,0.31794775,0.3178401,0.3161117
3,0.3314175,0.3313274,0.32932603
4,0.342742,0.34266472,0.34063184
5,0.40328184,0.40322024,0.40158102
6,0.5053177,0.5052804,0.50429296
7,0.55995744,0.5599387,0.55925107
8,0.5432386,0.5432242,0.5424414
9,0.48718062,0.4871476,0.48624423
10,0.41743338,0.41739362,0.4161943
11,0.36450592,0.36447832,0.3629536
12,0.38068864,0.38065174,0.37914556
13,0.40042648,0.40037584,0.39876702
14,0.40577888,0.405764,0.40404075
15,0.4122403,0.412242,0.4104758
16,0.32324278,0.3231793,0.3216624
