LAYER,P,R,F
0,0.29251722,0.29243135,0.28824046
1,0.3270653,0.32702345,0.32414123
2,0.34298986,0.34297037,0.34081614
3,0.35257423,0.35255608,0.3502542
4,0.36079553,0.36077785,0.35852012
5,0.4250942,0.425059,0.42333168
6,0.5288226,0.5288088,0.5278067
7,0.57518166,0.5751787,0.5744667
8,0.5556386,0.5556409,0.554816
9,0.50031036,0.50027037,0.49935982
10,0.431764,0.43173033,0.43051916
11,0.3727856,0.37272698,0.37108865
12,0.3785679,0.37849474,0.37677515
13,0.3937992,0.39371702,0.39193982
14,0.3963082,0.39625022,0.3943681
15,0.40861925,0.408575,0.40663382
16,0.3136189,0.3135873,0.3120113
