LAYER,P,R,F
0,0.26145306,0.26147375,0.25741524
1,0.3025566,0.30248818,0.2998916
2,0.32179558,0.32175842,0.31985885
3,0.33394024,0.33392504,0.33166507
4,0.34498307,0.3450014,0.34262
5,0.41246715,0.4124828,0.41061035
6,0.51987356,0.51987606,0.51879877
7,0.56968486,0.5696755,0.56891495
8,0.5526059,0.55259466,0.55172443
9,0.49650237,0.49646214,0.49543175
10,0.42862728,0.42857316,0.42718053
11,0.36833626,0.36827257,0.3663598
12,0.37506276,0.3750053,0.37302044
13,0.38766044,0.38759127,0.3855202
14,0.39820743,0.39815167,0.39614087
15,0.4081781,0.40812454,0.4060677
16,0.31196377,0.31188112,0.31034505
