LAYER,P,R,F
0,0.3594449,0.35943142,0.35630783
1,0.662669,0.662666,0.66222733
2,0.7278628,0.72787654,0.727691
3,0.7365745,0.73659885,0.7363675
4,0.7886599,0.7886995,0.7885636
5,0.7880371,0.7880777,0.7879012
6,0.8136995,0.813729,0.8136207
7,0.8208896,0.8209284,0.82083935
8,0.83259714,0.8326411,0.8325414
9,0.83512545,0.83517814,0.83508295
10,0.8349007,0.8349598,0.83484215
11,0.8370682,0.83713394,0.83697623
12,0.83735925,0.8374388,0.83716834
13,0.8307876,0.8308769,0.8305337
14,0.8304336,0.83052474,0.83013064
15,0.8350196,0.83511585,0.8347356
16,0.8262828,0.8263541,0.82602215
17,0.8352246,0.83529,0.8349814
18,0.8413706,0.8414452,0.84111327
19,0.84041846,0.84048223,0.840178
20,0.85462093,0.8546788,0.854426
21,0.8733275,0.87337714,0.8731498
22,0.87235314,0.8724075,0.87218434
23,0.86924857,0.86931163,0.8690715
24,0.97641337,0.9764174,0.97640705
