LAYER,P,R,F
0,0.38303047,0.38316694,0.38004494
1,0.6715437,0.67160815,0.671146
2,0.72935355,0.7293971,0.7292059
3,0.7367963,0.7368109,0.73659825
4,0.78665257,0.78668237,0.7865436
5,0.7876893,0.7877102,0.7875555
6,0.8118788,0.811887,0.8117912
7,0.81852704,0.8185447,0.81847227
8,0.82763994,0.8276652,0.8275769
9,0.829965,0.8299915,0.8299079
10,0.8325733,0.8325909,0.832492
11,0.83627987,0.8362996,0.8361541
12,0.83918196,0.8392273,0.8389481
13,0.83649516,0.8365421,0.83620304
14,0.8397933,0.8398624,0.8394616
15,0.84358793,0.8436498,0.8432716
16,0.83227086,0.8323361,0.8319669
17,0.83968145,0.83974457,0.8394039
18,0.8447246,0.84477955,0.8444194
19,0.8420644,0.8421077,0.84175897
20,0.85892874,0.85897714,0.85869175
21,0.8784681,0.87850714,0.8782475
22,0.8812008,0.8812461,0.8809788
23,0.8809998,0.88104856,0.8807619
24,0.9765009,0.9765086,0.9764968
