LAYER,P,R,F
0,0.27077773,0.27081063,0.26688486
1,0.31458914,0.31458747,0.3120791
2,0.33407974,0.3341051,0.33230388
3,0.3424346,0.34244755,0.3402508
4,0.35230166,0.35230178,0.35003006
5,0.4220341,0.42202395,0.4202843
6,0.53116757,0.53115034,0.530122
7,0.5820105,0.5819889,0.5812692
8,0.5657533,0.56574196,0.56491727
9,0.5071269,0.5071374,0.5062459
10,0.43731558,0.43734074,0.43611565
11,0.37808847,0.37813658,0.37643093
12,0.38327742,0.3833187,0.38146868
13,0.39855412,0.39860153,0.3966159
14,0.40502536,0.4050431,0.4029639
15,0.4187931,0.4188173,0.41667226
16,0.3218223,0.32182986,0.32025683
