LAYER,P,R,F
0,0.24679352,0.24680473,0.24270211
1,0.29235435,0.29231834,0.28975013
2,0.3138872,0.31386852,0.31213808
3,0.3285111,0.3284912,0.32616478
4,0.34355187,0.34352767,0.3409594
5,0.40920743,0.4091819,0.40708998
6,0.5143928,0.5143628,0.51312447
7,0.5684746,0.56843746,0.5675548
8,0.55277854,0.55274475,0.55174726
9,0.4946325,0.49455652,0.49314302
10,0.425077,0.42500603,0.42305094
11,0.37143245,0.37136525,0.3687799
12,0.38431773,0.38426274,0.38162753
13,0.40205154,0.40199956,0.3993145
14,0.41208863,0.412054,0.40980735
15,0.4243431,0.42427495,0.4220649
16,0.32602695,0.3260445,0.32438898
