LAYER,P,R,F
0,0.36036962,0.3603732,0.35725367
1,0.6612272,0.661179,0.66074145
2,0.722742,0.72273415,0.72256047
3,0.73125947,0.73123205,0.7310358
4,0.7825561,0.7825642,0.78245354
5,0.78133506,0.7813208,0.7811937
6,0.8079803,0.8079664,0.8078874
7,0.8139315,0.8139195,0.8138673
8,0.82575524,0.82575536,0.8256901
9,0.8267652,0.8267674,0.8267081
10,0.826633,0.826636,0.82654697
11,0.8310137,0.8310095,0.83087397
12,0.8320955,0.83211106,0.83181846
13,0.82811135,0.8281364,0.827703
14,0.8271892,0.8272189,0.8265785
15,0.8306057,0.8306258,0.82997155
16,0.81801736,0.81803435,0.8175852
17,0.8253589,0.825372,0.8250096
18,0.82938665,0.82940817,0.8290164
19,0.82824516,0.8282779,0.827922
20,0.8445639,0.84459394,0.84429437
21,0.86360985,0.8636378,0.86333483
22,0.8661244,0.8661579,0.86584014
23,0.8638866,0.86392677,0.8635829
24,0.97858095,0.9785705,0.9785698
