LAYER,P,R,F
0,0.25753325,0.25744554,0.25318053
1,0.2981514,0.2980718,0.2952621
2,0.3208413,0.32078207,0.3187413
3,0.33565432,0.33562624,0.33315146
4,0.34684345,0.34679237,0.3443796
5,0.4133209,0.41324788,0.41142154
6,0.514071,0.51400465,0.51292115
7,0.5642201,0.56416416,0.56339765
8,0.54623514,0.5461879,0.54531705
9,0.49143773,0.4913597,0.4903938
10,0.42275012,0.42266262,0.42136824
11,0.36494458,0.36484274,0.36310795
12,0.37404448,0.37393928,0.37217715
13,0.38868552,0.3885813,0.38668826
14,0.39440155,0.39433125,0.39241815
15,0.4055417,0.40547967,0.4035052
16,0.30379978,0.30370486,0.30213118
