LAYER,P,R,F
0,0.379094,0.37919718,0.37330297
1,0.27352002,0.27357075,0.26852632
2,0.24191533,0.24194317,0.23669504
3,0.2238661,0.22388461,0.21928357
4,0.22812894,0.22815062,0.22410771
5,0.22398795,0.22402358,0.22023973
6,0.22606015,0.22609216,0.22241953
7,0.22955626,0.22957715,0.2261971
8,0.23346025,0.23349406,0.230283
9,0.23933677,0.23937275,0.23639005
10,0.24947925,0.2495169,0.24674372
11,0.25879192,0.25879982,0.25623834
12,0.26840612,0.2684224,0.2659429
13,0.28223696,0.2822432,0.27990422
14,0.3007411,0.30081397,0.298456
15,0.32065493,0.32073346,0.31820792
16,0.3489667,0.34909493,0.34612358
17,0.37499505,0.37513632,0.37153322
18,0.39365283,0.3937659,0.3894278
19,0.3985198,0.39858896,0.39375183
20,0.40377426,0.4038127,0.3987301
21,0.4162669,0.41631454,0.41127917
22,0.4385093,0.43853307,0.43359485
23,0.50211877,0.5021498,0.49820283
24,0.6450441,0.6450727,0.64176905
