LAYER,P,R,F
0,0.3712891,0.37132213,0.36826715
1,0.67176163,0.6717439,0.6703483
2,0.70031923,0.7003052,0.69969934
3,0.7080897,0.7081011,0.707698
4,0.6976306,0.69762677,0.69710517
5,0.7187199,0.71873325,0.71828526
6,0.74678195,0.74678224,0.74642223
7,0.7772428,0.7772184,0.77691925
8,0.8021733,0.8021747,0.8019093
9,0.8067641,0.80678225,0.8065291
10,0.8366976,0.8367098,0.8364913
11,0.8163513,0.816369,0.8161064
12,0.8175406,0.8175611,0.81728977
13,0.82106245,0.8210674,0.82080233
14,0.81487834,0.8148861,0.8145652
15,0.8243552,0.8243522,0.8240494
16,0.8341641,0.8341684,0.833912
17,0.83150584,0.8314941,0.83122575
18,0.8314624,0.83146274,0.8311686
19,0.82761073,0.8276117,0.8273196
20,0.799873,0.79988,0.79956234
21,0.8082163,0.80819315,0.8079286
22,0.83196104,0.83195347,0.83174026
23,0.8408042,0.8408027,0.8405716
24,0.96022236,0.96021587,0.960168
