LAYER,P,R,F
0,0.29741356,0.29718205,0.29312935
1,0.33412832,0.33395684,0.3312904
2,0.35136887,0.35124466,0.3492788
3,0.36096326,0.3608026,0.35864976
4,0.36783966,0.36770988,0.36555293
5,0.4318944,0.4317502,0.4300937
6,0.54022354,0.54010266,0.5391772
7,0.5873484,0.5872481,0.58660454
8,0.56757474,0.5674764,0.566725
9,0.50883144,0.5087277,0.5079181
10,0.43789023,0.43777642,0.4366415
11,0.37517586,0.37504935,0.3734603
12,0.37935427,0.37921786,0.37755096
13,0.39596176,0.39583504,0.39407465
14,0.40488854,0.4047234,0.40284988
15,0.41720447,0.41700417,0.41506332
16,0.321014,0.32089671,0.31943843
