LAYER,P,R,F
0,0.39393866,0.39371517,0.3905179
1,0.6807716,0.6807661,0.680328
2,0.7418765,0.74186456,0.74167407
3,0.74935234,0.7493611,0.7491301
4,0.79821396,0.79822713,0.7980995
5,0.7988987,0.7989139,0.7987521
6,0.8229017,0.8228938,0.8228024
7,0.8280001,0.8279914,0.8279237
8,0.8397697,0.8397626,0.8396876
9,0.8410181,0.8410066,0.84094054
10,0.8409921,0.8409992,0.8409067
11,0.8431543,0.8431424,0.84302104
12,0.8459719,0.84595364,0.84571356
13,0.8396326,0.839628,0.83931595
14,0.84028465,0.84028375,0.83993286
15,0.8447372,0.84472674,0.8444034
16,0.8363781,0.8363222,0.8360513
17,0.84482056,0.8447689,0.8445116
18,0.85074264,0.85068643,0.8504014
19,0.84944814,0.8493866,0.8491228
20,0.86171687,0.86166567,0.8614421
21,0.87797874,0.8779322,0.8777276
22,0.87815136,0.87810516,0.87791014
23,0.87712365,0.87708676,0.8768752
24,0.9812538,0.9812441,0.9812441
