LAYER,P,R,F
0,0.22709163,0.2271243,0.22315507
1,0.28697282,0.28699732,0.284561
2,0.31591207,0.31594896,0.3142282
3,0.3272068,0.3271873,0.3251662
4,0.33797315,0.33791435,0.3357934
5,0.39506105,0.39499047,0.39325175
6,0.49566302,0.4955908,0.49454838
7,0.55213124,0.5520629,0.55135715
8,0.5356107,0.53553146,0.53473157
9,0.48094663,0.4808736,0.4799986
10,0.41156343,0.41149083,0.410293
11,0.36135536,0.36126482,0.3597544
12,0.3840661,0.38395354,0.3824061
13,0.3990762,0.39895925,0.39723954
14,0.40530387,0.40517297,0.40322375
15,0.41519368,0.41508782,0.4130928
16,0.3316055,0.33152688,0.32986996
