LAYER,P,R,F
0,0.36092442,0.36074498,0.3580085
1,0.6607407,0.66068447,0.66028255
2,0.7176594,0.7175985,0.71745765
3,0.7285679,0.72852075,0.72832286
4,0.78595924,0.7859272,0.7858384
5,0.7865282,0.7864904,0.7863824
6,0.8087826,0.80874693,0.80867803
7,0.81360877,0.8135691,0.8135222
8,0.8234922,0.82345206,0.82339203
9,0.82659143,0.8265619,0.8265032
10,0.82844096,0.8284168,0.8283329
11,0.833159,0.83313984,0.83300036
12,0.83688194,0.8368595,0.8365941
13,0.83482826,0.8348066,0.83445275
14,0.8371448,0.8371316,0.8367094
15,0.8411402,0.8411226,0.8407152
16,0.8285362,0.828508,0.8281295
17,0.8365054,0.8364763,0.8361323
18,0.84074885,0.84073424,0.8403675
19,0.8374997,0.8374846,0.83713585
20,0.85316974,0.8531484,0.85286206
21,0.8724993,0.87247324,0.87221074
22,0.87472016,0.87468535,0.87441224
23,0.8715076,0.8714718,0.8711863
24,0.97793525,0.97793806,0.9779296
