LAYER,P,R,F
0,0.38867676,0.38860926,0.38541874
1,0.6748494,0.6748672,0.6744121
2,0.7362502,0.7362605,0.73607147
3,0.74364084,0.7436084,0.7434166
4,0.79383326,0.79382324,0.7937171
5,0.79398805,0.7939688,0.79384273
6,0.8189012,0.818897,0.81879824
7,0.8252554,0.8252701,0.82518923
8,0.8372976,0.8373069,0.837221
9,0.83934426,0.8393484,0.8392743
10,0.8396223,0.8396263,0.8395396
11,0.8413963,0.8414122,0.84128094
12,0.8425236,0.84252983,0.8422956
13,0.836232,0.8362653,0.8359306
14,0.8365411,0.8365994,0.83620155
15,0.84075475,0.84081256,0.84043586
16,0.8336484,0.83366156,0.83334255
17,0.8420401,0.84204596,0.84175515
18,0.84736043,0.847369,0.8470594
19,0.8457147,0.84572095,0.84543604
20,0.8610545,0.86105347,0.8608192
21,0.8796009,0.87960935,0.87939256
22,0.87826204,0.8782994,0.8780729
23,0.8757684,0.8757959,0.8755639
24,0.9783308,0.9783405,0.9783287
