LAYER,P,R,F
0,0.25295407,0.2529038,0.24914542
1,0.30763087,0.30758235,0.3050838
2,0.3358753,0.33583683,0.33403713
3,0.35062265,0.35062423,0.34857833
4,0.36368594,0.36370537,0.36166307
5,0.4208051,0.42084384,0.41921085
6,0.52163017,0.5216751,0.5207288
7,0.5748712,0.57491165,0.57426846
8,0.5565561,0.55660844,0.55587536
9,0.50083,0.50086135,0.5000541
10,0.4287173,0.42873642,0.4276349
11,0.37965864,0.37967306,0.37825358
12,0.407949,0.40795445,0.40652746
13,0.43800756,0.437995,0.43645307
14,0.45024598,0.4502631,0.4485536
15,0.45746338,0.45749146,0.4557482
16,0.38742596,0.38743827,0.3859296
