LAYER,P,R,F
0,0.3740441,0.37399486,0.3710023
1,0.67301875,0.6729773,0.6725724
2,0.7341082,0.73409325,0.733912
3,0.74055076,0.7405203,0.7403056
4,0.7904661,0.79042983,0.79032314
5,0.7880771,0.78803754,0.78790236
6,0.81661665,0.8166169,0.81652534
7,0.8221869,0.82219744,0.82212555
8,0.8350775,0.83508027,0.8350043
9,0.8372719,0.83726805,0.8372026
10,0.8372136,0.8371918,0.8371133
11,0.8399054,0.8398653,0.83975667
12,0.84060127,0.8405483,0.84033316
13,0.8341999,0.8341561,0.83385843
14,0.83416283,0.83414257,0.8337824
15,0.8384014,0.83838236,0.8380531
16,0.8296981,0.82966036,0.8293861
17,0.83966845,0.8396195,0.8393744
18,0.84589136,0.8458346,0.845562
19,0.84492606,0.8448792,0.8446221
20,0.8584489,0.8584082,0.858195
21,0.87398726,0.8739412,0.87374836
22,0.8719638,0.8719428,0.8717388
23,0.87165064,0.87161326,0.87140054
24,0.97964114,0.9796477,0.979639
