LAYER,P,R,F
0,0.32776257,0.3276813,0.32470536
1,0.3356181,0.3355479,0.332959
2,0.35034394,0.35026166,0.3482373
3,0.36442822,0.36435747,0.36224666
4,0.3771403,0.37707978,0.37516475
5,0.43258497,0.4325344,0.43104237
6,0.5181599,0.5181224,0.5172326
7,0.5792645,0.57922333,0.57866186
8,0.5692134,0.5691731,0.56858486
9,0.5324812,0.5324232,0.53178775
10,0.47810394,0.47805268,0.47723517
11,0.4319199,0.43188363,0.43088776
12,0.44747546,0.447443,0.44653583
13,0.45633683,0.4563076,0.45531917
14,0.45723236,0.457195,0.45610127
15,0.46675017,0.46670267,0.4656479
16,0.40051928,0.40046176,0.39960644
